id,城市,市区,标题,户型,面积,面积数值,方位,楼层,时间,所属小区,所属区域,房源链接,总价,总价数值,均价,均价数值,房龄
6457,fuzhou,晋安,鼓楼五四北 天空之城 次新楼盘 精装三房 低总价拎包即住,3 室 2 厅 1 卫,80㎡,80.00,南,低层(共31层),2020年建造,天空之城天玺,晋安 五四北 坂路536号,https://fz.anjuke.com/prop/view/S3723122696875020?auction=221&hpType=27&entry=102&position=55&kwtype=filter&now_time=1782180693&spread=filtersearch_c&epauction=&stats_key=f47b2b98-24dd-40a7-b0d5-851f7f052554_55&from=from_esf_List_screen&index=55,115万,115.00,14375元/㎡,14375.00,5-10年
6458,fuzhou,仓山,白湖亭地铁站，纯商品房，电梯高层，温馨3房，户型好，采光好,3 室 2 厅 2 卫,97㎡,97.00,南,高层(共16层),2016年建造,中茵上城美域,仓山 则徐大道 高旺路2号,https://fz.anjuke.com/prop/view/S3840635797250056?auction=221&hpType=27&entry=102&position=56&kwtype=filter&now_time=1782180693&spread=filtersearch_c&epauction=&stats_key=f47b2b98-24dd-40a7-b0d5-851f7f052554_56&from=from_esf_List_screen&index=56,170万,170.00,17526元/㎡,17526.00,5-10年
6459,fuzhou,仓山,白湖亭   广场 国贸凤凰原 精装三房 看房随时,3 室 2 厅 1 卫,88.43㎡,88.43,南北,低层(共15层),2021年建造,国贸凤凰原,仓山 白湖亭 盖山路55号,https://fz.anjuke.com/prop/view/S4554015708851210?auction=221&hpType=27&entry=102&position=57&kwtype=filter&now_time=1782180693&spread=filtersearch_c&epauction=&stats_key=f47b2b98-24dd-40a7-b0d5-851f7f052554_57&from=from_esf_List_screen&index=57,138万,138.00,15606元/㎡,15606.00,5-10年
6460,fuzhou,晋安,火车站旁边电梯精装复式，全景中心花园，三房两卫，纯商社区,3 室 2 厅 2 卫,88.84㎡,88.84,南北,低层(共33层),2020年建造,正荣府,晋安 西园 桂山路100号,https://fz.anjuke.com/prop/view/S3041276867208207?auction=221&hpType=27&entry=102&position=58&kwtype=filter&now_time=1782180693&spread=filtersearch_c&epauction=&stats_key=f47b2b98-24dd-40a7-b0d5-851f7f052554_58&from=from_esf_List_screen&index=58,159万,159.00,17898元/㎡,17898.00,5-10年
6461,fuzhou,晋安,五里亭 金辉优步大道 3房端户,3 室 2 厅 2 卫,90.76㎡,90.76,南北,低层(共34层),2019年建造,金辉优步大道,晋安 新东区 连江中路75号,https://fz.anjuke.com/prop/view/S4288279306247176?auction=221&hpType=27&entry=102&position=59&kwtype=filter&now_time=1782180693&spread=filtersearch_c&epauction=&stats_key=f47b2b98-24dd-40a7-b0d5-851f7f052554_59&from=from_esf_List_screen&index=59,160万,160.00,17629元/㎡,17629.00,5-10年
6462,fuzhou,晋安,鲁能公馆一期 商业配套齐全 交通便利 带电梯 正南朝向,3 室 2 厅 2 卫,111.29㎡,111.29,南,低层(共22层),2019年建造,鲁能公馆一期,晋安 五四北 南平东路668号,https://fz.anjuke.com/prop/view/S4019406597775366?auction=221&hpType=27&entry=102&position=0&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_0&from=from_esf_List_screen&index=0,203万,203.00,18241元/㎡,18241.00,5-10年
6463,fuzhou,仓山,霞镜新城三区 3室1厅1卫,3 室 1 厅 1 卫,80㎡,80.00,南,低层(共22层),2020年建造,霞镜新城三区,仓山 仓山万达 金榕南路754号,https://fz.anjuke.com/prop/view/S4544245483854849?auction=221&hpType=27&entry=102&position=1&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_1&from=from_esf_List_screen&index=1,148万,148.00,18500元/㎡,18500.00,5-10年
6464,fuzhou,晋安,新店 南向采光好 商业配套齐全 精装可拎包入住 医疗配套成熟,3 室 2 厅 2 卫,98.58㎡,98.58,南,低层(共33层),2016年建造,万科金域榕郡,晋安 新店 福飞北路139号,https://fz.anjuke.com/prop/view/S2963092164420613?auction=221&hpType=27&entry=102&position=2&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_2&from=from_esf_List_screen&index=2,189万,189.00,19173元/㎡,19173.00,5-10年
6465,fuzhou,晋安,新出！诚意出售！五里亭地铁口附近！纯商品房！大东海玺悦！,3 室 2 厅 2 卫,89㎡,89.00,南北,中层(共20层),2020年建造,大东海玺悦,晋安 王庄 藕塘巷8号,https://fz.anjuke.com/prop/view/S3928611604046860?auction=221&hpType=27&entry=102&position=3&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_3&from=from_esf_List_screen&index=3,171万,171.00,19214元/㎡,19214.00,5-10年
6466,fuzhou,仓山,融信   南北通透 近地铁 高楼层视野好 小三房 电梯房,3 室 2 厅 1 卫,89.66㎡,89.66,南北,高层(共25层),2016年建造,融信白宫,仓山 洪湾路 花溪南路43号,https://fz.anjuke.com/prop/view/S4469470431026184?auction=221&hpType=27&entry=102&position=4&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_4&from=from_esf_List_screen&index=4,160万,160.00,17846元/㎡,17846.00,5-10年
6467,fuzhou,仓山,融信白~宫丨业主狠~想~卖丨一线看江景丨安静不吵丨价格好谈,3 室 2 厅 1 卫,95.29㎡,95.29,南,低层(共28层),2017年建造,融信白宫,仓山 洪湾路 花溪南路43号,https://fz.anjuke.com/prop/view/S4598404874937357?auction=221&hpType=27&entry=102&position=5&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_5&from=from_esf_List_screen&index=5,153万,153.00,16057元/㎡,16057.00,5-10年
6468,fuzhou,晋安,天空之城天玺 交通便捷 近地铁 中间楼层 小三居 南北通透,3 室 2 厅 2 卫,106㎡,106.00,南北,高层(共34层),2020年建造,天空之城天玺,晋安 五四北 坂路536号,https://fz.anjuke.com/prop/view/S4087304427544583?auction=221&hpType=27&entry=102&position=6&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_6&from=from_esf_List_screen&index=6,185万,185.00,17453元/㎡,17453.00,5-10年
6469,fuzhou,仓山,龙湖兰园天序  商品房   无遮挡  装修40  全送,3 室 2 厅 1 卫,86.81㎡,86.81,南北,中层(共27层),2021年建造,龙湖兰园天序,"仓山 浦上大道 凤岗路,近上雁路",https://fz.anjuke.com/prop/view/S4485107757755404?auction=221&hpType=27&entry=102&position=7&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_7&from=from_esf_List_screen&index=7,210万,210.00,24191元/㎡,24191.00,5-10年
6470,fuzhou,台江,次新房 近医院 带电梯 商业配套齐全 临地铁 交通便利,3 室 2 厅 2 卫,104.52㎡,104.52,南北,低层(共29层),2021年建造,融信双杭城澜园,台江 万宝 南禅巷77号,https://fz.anjuke.com/prop/view/S4493109618367491?auction=221&hpType=27&entry=102&position=8&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_8&from=from_esf_List_screen&index=8,209万,209.00,19997元/㎡,19997.00,5-10年
6471,fuzhou,晋安,斗门茶园 正荣府三房183万,3 室 2 厅 2 卫,115.09㎡,115.09,东南,低层(共28层),2018年建造,正荣府,晋安 西园 桂山路100号,https://fz.anjuke.com/prop/view/S4429114205842440?auction=221&hpType=27&entry=102&position=9&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_9&from=from_esf_List_screen&index=9,183万,183.00,15901元/㎡,15901.00,5-10年
6472,fuzhou,晋安,东泰禾 岳前雅居二房157万,2 室 2 厅 1 卫,75.33㎡,75.33,南,高层(共26层),2020年建造,中建岳前雅居,晋安 东二环 岳峰横路68号,https://fz.anjuke.com/prop/view/S3849671262774283?auction=221&hpType=27&entry=102&position=10&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_10&from=from_esf_List_screen&index=10,157万,157.00,20842元/㎡,20842.00,5-10年
6473,fuzhou,晋安,东泰禾 香开连天花园四房232万,4 室 2 厅 2 卫,97㎡,97.00,南北,中层(共38层),2020年建造,首开中庚香开连天,晋安 东二环 福洋路9号,https://fz.anjuke.com/prop/view/S4245856324889613?auction=221&hpType=27&entry=102&position=11&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_11&from=from_esf_List_screen&index=11,232万,232.00,23918元/㎡,23918.00,5-10年
6474,fuzhou,晋安,东泰禾 泰禾金尊府三房295万,3 室 2 厅 2 卫,94㎡,94.00,东,中层(共27层),2017年建造,泰禾金尊府,晋安 东二环 潭桥路36号,https://fz.anjuke.com/prop/view/S2912416618863616?auction=221&hpType=27&entry=102&position=12&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_12&from=from_esf_List_screen&index=12,295万,295.00,31383元/㎡,31383.00,5-10年
6475,fuzhou,晋安,天空之城 临地铁 商品住宅 精装可拎包入住 满二 电梯房,3 室 2 厅 1 卫,77.2㎡,77.20,南,低层(共25层),2021年建造,天空之城,晋安 五四北 战坂路536号,https://fz.anjuke.com/prop/view/S3611354473634819?auction=221&hpType=27&entry=102&position=13&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_13&from=from_esf_List_screen&index=13,130万,130.00,16840元/㎡,16840.00,5-10年
6476,fuzhou,晋安,新出！五里亭地铁口！大东海玺悦！电梯房，次新房！,3 室 2 厅 2 卫,89㎡,89.00,南北,高层(共20层),2020年建造,大东海玺悦,晋安 王庄 藕塘巷8号,https://fz.anjuke.com/prop/view/S4584102269447181?auction=221&hpType=27&entry=102&position=14&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_14&from=from_esf_List_screen&index=14,171万,171.00,19214元/㎡,19214.00,5-10年
6477,fuzhou,晋安,东泰禾 保利香槟国 大4房 精装 复试 280万    大,4 室 2 厅 2 卫,120㎡,120.00,南,中层(共33层),2016年建造,保利香槟国际,晋安 东二环 桂溪路11号,https://fz.anjuke.com/prop/view/S2637422382064650?auction=221&hpType=27&entry=102&position=15&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_15&from=from_esf_List_screen&index=15,280万,280.00,23334元/㎡,23334.00,5-10年
6478,fuzhou,晋安,刚需小三居 楼层好 次新小区 商圈成熟 有电梯 交通便捷,3 室 2 厅 1 卫,88.69㎡,88.69,南北,中层(共8层),2021年建造,正荣悦榕府,晋安 火车站 北环东路25号,https://fz.anjuke.com/prop/view/S4596570503586824?auction=221&hpType=27&entry=102&position=16&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_16&from=from_esf_List_screen&index=16,186万,186.00,20972元/㎡,20972.00,5-10年
6479,fuzhou,晋安,急急急 价格可谈五里亭地铁口 楼处任选呀！首开国企现房,3 室 2 厅 2 卫,89㎡,89.00,南北,高层(共25层),2021年建造,首开香悦,晋安 福马路 松山路555号,https://fz.anjuke.com/prop/view/S3687890257732614?auction=221&hpType=27&entry=102&position=17&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_17&from=from_esf_List_screen&index=17,185万,185.00,20787元/㎡,20787.00,5-10年
6480,fuzhou,晋安,东泰禾 中联东郡三房,3 室 2 厅 2 卫,100.62㎡,100.62,西南,低层(共16层),2016年建造,中联东郡,晋安 东二环 横屿路967号,https://fz.anjuke.com/prop/view/S3273691878499331?auction=221&hpType=27&entry=102&position=18&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_18&from=from_esf_List_screen&index=18,179万,179.00,17790元/㎡,17790.00,5-10年
6481,fuzhou,晋安,急急急旭辉都会里 双卫格局 医疗配套成熟 购物方便 南北通透,3 室 1 厅 2 卫,89.83㎡,89.83,南北,低层(共18层),2021年建造,旭辉都会里,晋安 王庄 茶会路555号,https://fz.anjuke.com/prop/view/S4575683826785295?auction=221&hpType=27&entry=102&position=19&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_19&from=from_esf_List_screen&index=19,199万,199.00,22153元/㎡,22153.00,5-10年
6482,fuzhou,晋安,精装9成新3房 次新品质社区 小高层  通地库 临屏东中,3 室 2 厅 2 卫,116㎡,116.00,南北,低层(共11层),2020年建造,三盛国际公园香缇时光二期,晋安 五四北 下井路98号,https://fz.anjuke.com/prop/view/S3037285902213124?auction=221&hpType=27&entry=102&position=20&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_20&from=from_esf_List_screen&index=20,168万,168.00,14483元/㎡,14483.00,5-10年
6483,fuzhou,晋安,业主急售！东二环次新房，横屿地铁口，纯商品房，采光视野无遮挡,3 室 2 厅 2 卫,87.29㎡,87.29,南北,高层(共38层),2020年建造,首开中庚香开连天,晋安 东二环 福洋路9号,https://fz.anjuke.com/prop/view/S4336182496320515?auction=221&hpType=27&entry=102&position=21&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_21&from=from_esf_List_screen&index=21,191万,191.00,21882元/㎡,21882.00,5-10年
6484,fuzhou,晋安,朝南 房龄新 交通便捷 商业配套成熟 医疗配套成熟,3 室 2 厅 1 卫,74.78㎡,74.78,南,低层(共27层),2017年建造,鲁能公馆一期,晋安 五四北 南平东路668号,https://fz.anjuke.com/prop/view/S3844895161720836?auction=221&hpType=27&entry=102&position=22&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_22&from=from_esf_List_screen&index=22,139万,139.00,18588元/㎡,18588.00,5-10年
6485,fuzhou,晋安,装修好 有电梯 购物方便 南向采光好 正规商品房 小区新,2 室 2 厅 1 卫,78.97㎡,78.97,南,中层(共31层),2019年建造,鲁能公馆一期,晋安 五四北 南平东路668号,https://fz.anjuke.com/prop/view/S3058430962080769?auction=221&hpType=27&entry=102&position=23&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_23&from=from_esf_List_screen&index=23,158万,158.00,20008元/㎡,20008.00,5-10年
6486,fuzhou,晋安,东泰禾 保利香槟国际三房240万,3 室 2 厅 1 卫,90㎡,90.00,东,低层(共36层),2016年建造,保利香槟国际,晋安 东二环 桂溪路11号,https://fz.anjuke.com/prop/view/S4019281279262735?auction=221&hpType=27&entry=102&position=24&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_24&from=from_esf_List_screen&index=24,240万,240.00,26667元/㎡,26667.00,5-10年
6487,fuzhou,晋安,新出 东二环泰禾 保利香槟国际 南门头排 豪装大三房,3 室 2 厅 2 卫,125.2㎡,125.20,南北,中层(共33层),2016年建造,保利香槟国际,晋安 东二环 桂溪路11号,https://fz.anjuke.com/prop/view/S4510668492237828?auction=221&hpType=27&entry=102&position=25&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_25&from=from_esf_List_screen&index=25,310万,310.00,24761元/㎡,24761.00,5-10年
6488,fuzhou,仓山,超幸福社区 出门地铁 现代时尚精装 端头三房 极少住 金城湾,3 室 2 厅 2 卫,115㎡,115.00,南,中层(共34层),2016年建造,新榕金城湾,仓山 金山大道 金山大道619号,https://fz.anjuke.com/prop/view/S3836600669987845?auction=221&hpType=27&entry=102&position=26&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_26&from=from_esf_List_screen&index=26,235万,235.00,20435元/㎡,20435.00,5-10年
6489,fuzhou,晋安,东泰禾 世茂云潮三房159万,3 室 2 厅 2 卫,88㎡,88.00,东南,高层(共25层),2021年建造,世茂云潮,晋安 前横路 横屿路,https://fz.anjuke.com/prop/view/S3978488738947077?auction=221&hpType=27&entry=102&position=27&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_27&from=from_esf_List_screen&index=27,159万,159.00,18069元/㎡,18069.00,5-10年
6490,fuzhou,晋安,正南朝向 商业配套齐全 医疗配套成熟 临地铁 小三居 满二,3 室 2 厅 2 卫,88.41㎡,88.41,南北,低层(共24层),2021年建造,中庚香山新时代,晋安 新店 龙头路,https://fz.anjuke.com/prop/view/S3845044002660358?auction=221&hpType=27&entry=102&position=28&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_28&from=from_esf_List_screen&index=28,190万,190.00,21491元/㎡,21491.00,5-10年
6491,fuzhou,仓山,奥体中心  阳光城檀府 南北通透方正精装3房2厅2卫,3 室 2 厅 2 卫,104.87㎡,104.87,南北,低层(共15层),2021年建造,阳光城融侨檀府,仓山 奥体中心 盘屿路9号,https://fz.anjuke.com/prop/view/S4244467160050690?auction=221&hpType=27&entry=102&position=29&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_29&from=from_esf_List_screen&index=29,205万,205.00,19549元/㎡,19549.00,5-10年
6492,fuzhou,晋安,世茂璀璨天城(一期) 双卫 近地铁 装修豪华保养好,3 室 2 厅 2 卫,85.34㎡,85.34,南北,高层(共32层),2019年建造,世茂璀璨天城(一期),晋安 新东区 秀坂路169号,https://fz.anjuke.com/prop/view/S4485071696471041?auction=221&hpType=27&entry=102&position=30&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_30&from=from_esf_List_screen&index=30,198万,198.00,23202元/㎡,23202.00,5-10年
6493,fuzhou,晋安,新出！五里亭地铁口！大东海玺悦！电梯房，次新房！,3 室 2 厅 2 卫,89㎡,89.00,南北,高层(共20层),2020年建造,大东海玺悦,晋安 王庄 藕塘巷8号,https://fz.anjuke.com/prop/view/S3928543147861007?auction=221&hpType=27&entry=102&position=31&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_31&from=from_esf_List_screen&index=31,171万,171.00,19214元/㎡,19214.00,5-10年
6494,fuzhou,仓山,新上好房 新榕金城湾 全新精装70万  几乎未入住,3 室 1 厅 1 卫,124㎡,124.00,南北,低层(共31层),2018年建造,新榕金城湾,仓山 金山大道 金山大道619号,https://fz.anjuke.com/prop/view/S4620965133247503?auction=221&hpType=27&entry=102&position=32&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_32&from=from_esf_List_screen&index=32,249万,249.00,20081元/㎡,20081.00,5-10年
6495,fuzhou,晋安,公园左岸 精装三房两卫 拎包入住 低总价 随时配合,3 室 2 厅 2 卫,88.43㎡,88.43,南,低层(共20层),2021年建造,公园左岸,晋安 东二环 桂溪路299号,https://fz.anjuke.com/prop/view/S3614487272906767?auction=221&hpType=27&entry=102&position=33&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_33&from=from_esf_List_screen&index=33,233万,233.00,26349元/㎡,26349.00,5-10年
6496,fuzhou,晋安,临地铁 交通便捷 精装修 商品住宅 正南朝向 带电梯,3 室 2 厅 2 卫,88.84㎡,88.84,南,高层(共33层),2020年建造,正荣府,晋安 西园 桂山路100号,https://fz.anjuke.com/prop/view/S3982364312738822?auction=221&hpType=27&entry=102&position=34&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_34&from=from_esf_List_screen&index=34,170万,170.00,19136元/㎡,19136.00,5-10年
6497,fuzhou,晋安,东泰禾 岳前雅居二房175万,2 室 1 厅 1 卫,76㎡,76.00,南北,高层(共26层),2020年建造,中建岳前雅居,晋安 东二环 岳峰横路68号,https://fz.anjuke.com/prop/view/S3832212861936655?auction=221&hpType=27&entry=102&position=35&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_35&from=from_esf_List_screen&index=35,175万,175.00,23027元/㎡,23027.00,5-10年
6498,fuzhou,晋安,首开中庚香开连天，房东急售！中间楼层，横屿地铁口，动静分离,3 室 2 厅 2 卫,90.27㎡,90.27,南,低层(共38层),2020年建造,首开中庚香开连天,晋安 东二环 福洋路9号,https://fz.anjuke.com/prop/view/S3807301041105931?auction=221&hpType=27&entry=102&position=36&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_36&from=from_esf_List_screen&index=36,199万,199.00,22045元/㎡,22045.00,5-10年
6499,fuzhou,仓山,融侨悦江南 交通便捷 商品住宅 南向采光好 临地铁,3 室 2 厅 1 卫,87.15㎡,87.15,南,低层(共33层),2021年建造,融侨悦江南,仓山 金山大道 洪塘路35号,https://fz.anjuke.com/prop/view/S3555441960738819?auction=221&hpType=27&entry=102&position=37&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_37&from=from_esf_List_screen&index=37,165万,165.00,18933元/㎡,18933.00,5-10年
6500,fuzhou,晋安,东泰禾 阳光城檀悦三房223万,3 室 2 厅 2 卫,106㎡,106.00,南,低层(共29层),2019年建造,阳光城檀悦,晋安 东二环 化工路998号,https://fz.anjuke.com/prop/view/S3547609019816972?auction=221&hpType=27&entry=102&position=38&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_38&from=from_esf_List_screen&index=38,223万,223.00,21038元/㎡,21038.00,5-10年
6501,fuzhou,晋安,地铁口 鲁能公馆 精装2房 满2年 随时可看 价格可谈,2 室 1 厅 1 卫,79㎡,79.00,南,低层(共23层),2019年建造,鲁能公馆一期,晋安 五四北 南平东路668号,https://fz.anjuke.com/prop/view/S3951613110198287?auction=221&hpType=27&entry=102&position=39&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_39&from=from_esf_List_screen&index=39,149万,149.00,18861元/㎡,18861.00,5-10年
6502,fuzhou,晋安,五四北   复式楼 0公摊 纯毛坯 不沿街 看中心花园,3 室 2 厅 2 卫,87.92㎡,87.92,南,高层(共22层),2021年建造,融信澜天,晋安 五四北 站板路729号,https://fz.anjuke.com/prop/view/S3351035212899337?auction=221&hpType=27&entry=102&position=40&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_40&from=from_esf_List_screen&index=40,160万,160.00,18199元/㎡,18199.00,5-10年
6503,fuzhou,晋安,五里亭地铁口旁， 2020年次新纯商社区91平精装复式楼出售,3 室 2 厅 2 卫,90.42㎡,90.42,南北,中层(共34层),2020年建造,世茂璀璨天城(二期),晋安 新东区 秀坂路169号,https://fz.anjuke.com/prop/view/S4597263793171467?auction=221&hpType=27&entry=102&position=41&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_41&from=from_esf_List_screen&index=41,220万,220.00,24331元/㎡,24331.00,5-10年
6504,fuzhou,仓山,东升新城三区 购物方便 小三房 近医院 临地铁 小区新,3 室 2 厅 2 卫,107.01㎡,107.01,南北,低层(共15层),2018年建造,东升新城三区,仓山 三叉街 上三路254-2号,https://fz.anjuke.com/prop/view/S3479408637486082?auction=221&hpType=27&entry=102&position=42&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_42&from=from_esf_List_screen&index=42,184.9万,184.90,17279元/㎡,17279.00,5-10年
6505,fuzhou,晋安,近地铁口 房东全新精装未入住 电梯中层 拎包即住！,2 室 2 厅 1 卫,74㎡,74.00,南,中层(共27层),2018年建造,鲁能公馆一期,晋安 五四北 南平东路668号,https://fz.anjuke.com/prop/view/S4027578261187596?auction=221&hpType=27&entry=102&position=43&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_43&from=from_esf_List_screen&index=43,150万,150.00,20271元/㎡,20271.00,5-10年
6506,fuzhou,晋安,东泰禾 保利香槟国际四房,4 室 2 厅 2 卫,121㎡,121.00,南,低层(共37层),2016年建造,保利香槟国际,晋安 东二环 桂溪路11号,https://fz.anjuke.com/prop/view/S3216470583483406?auction=221&hpType=27&entry=102&position=44&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_44&from=from_esf_List_screen&index=44,270万,270.00,22315元/㎡,22315.00,5-10年
6507,fuzhou,晋安,保利香槟国际 商品房 满五唯一 房龄新 交通便利,2 室 2 厅 1 卫,68㎡,68.00,南北,中层(共32层),2016年建造,保利香槟国际,晋安 东二环 桂溪路11号,https://fz.anjuke.com/prop/view/S4528956636851202?auction=221&hpType=27&entry=102&position=45&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_45&from=from_esf_List_screen&index=45,149万,149.00,21912元/㎡,21912.00,5-10年
6508,fuzhou,仓山,南台十六府 商业配套齐全 大两房 有电梯 交通便利 南北通透,3 室 2 厅 2 卫,84.28㎡,84.28,南北,低层(共15层),2016年建造,南台十六府,"仓山 三叉街 南台路523,525,533号",https://fz.anjuke.com/prop/view/S2516109982393349?auction=221&hpType=27&entry=102&position=46&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_46&from=from_esf_List_screen&index=46,145.6万,145.60,17276元/㎡,17276.00,5-10年
6509,fuzhou,晋安,东泰禾 融信后海三房309万,3 室 2 厅 2 卫,98.34㎡,98.34,西南,中层(共23层),2017年建造,融信后海,晋安 东二环 桂溪路298号,https://fz.anjuke.com/prop/view/S3288987198135308?auction=221&hpType=27&entry=102&position=47&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_47&from=from_esf_List_screen&index=47,309万,309.00,31422元/㎡,31422.00,5-10年
6510,fuzhou,仓山,交通便利 刚需小三居 次新小区 豪华设计 商品房,3 室 2 厅 2 卫,93㎡,93.00,南北,高层(共15层),2020年建造,国贸凤凰原,仓山 白湖亭 盖山路55号,https://fz.anjuke.com/prop/view/S4368746690994181?auction=221&hpType=27&entry=102&position=48&kwtype=filter&now_time=1782180698&spread=filtersearch_c&epauction=&stats_key=ecc80b3e-ad88-40ed-be31-35078da470c3_48&from=from_esf_List_screen&index=48,169万,169.00,18173元/㎡,18173.00,5-10年
